,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
2463,19,102,83,185,Bi ,  IT,-0.02236,0.00081,7.732,0.0,B-,0.0,0.0,184,9.976,0.00087
2464,44,115,71,186,Lu ,   x,-0.3021,0.00401,7.935,0.002,B-,6.214,0.404,185,9.67568,0.0043
2465,42,114,72,186,Hf ,   x,-36424.21,51.232,7964.302,0.275,B-,2183.318,78.906,185,960897.0,55.0
2466,40,113,73,186,Ta ,   +,-38607.528,60.012,7971.835,0.323,B-,3901.0,60.0,185,958553.111,64.425
2467,38,112,74,186,W  ,    ,-42508.528,1.212,7988.601,0.007,B-,-581.442,1.244,185,954365.215,1.3
2468,36,111,75,186,Re ,    ,-41927.086,0.826,7981.269,0.004,B-,1072.857,0.837,185,954989.419,0.886
2469,34,110,76,186,Os ,    ,-42999.943,0.761,7982.831,0.004,B-,-3827.596,16.543,185,953837.66,0.816
2470,32,109,77,186,Ir ,   x,-39172.346,16.526,7958.047,0.089,B-,-1307.903,27.312,185,957946.754,17.74
2471,30,108,78,186,Pt ,    ,-37864.443,21.745,7946.809,0.117,B-,-6149.591,30.207,185,959350.846,23.344
2472,28,107,79,186,Au ,    ,-31714.852,20.967,7909.54,0.113,B-,-3175.756,23.987,185,965952.703,22.509
2473,26,106,80,186,Hg ,    ,-28539.097,11.65,7888.26,0.063,B-,-8652.484,25.209,185,969362.017,12.507
2474,24,105,81,186,Tl ,   x,-19886.613,22.356,7837.535,0.12,B-,-5204.588,25.078,185,978650.841,24.0
2475,22,104,82,186,Pb ,  -a,-14682.026,11.363,7805.347,0.061,B-,-11535.814,20.329,185,984238.196,12.199
2476,20,103,83,186,Bi ,  -a,-3146.212,16.857,7739.121,0.091,B-,-7247.186,24.87,185,996622.402,18.096
2477,18,102,84,186,Po ,  -a,4100.974,18.286,7695.951,0.098,B-,0.0,0.0,186,4402.577,19.63
2478,45,116,71,187,Lu ,   x,-0.2758,0.00401,7.922,0.002,B-,5.237,0.499,186,9.70392,0.0043
2479,43,115,72,187,Hf ,   x,-0.32817,0.00298,7.946,0.002,B-,4.079,0.303,186,9.6477,0.0032
2480,41,114,73,187,Ta ,   x,-36895.546,55.89,7963.212,0.299,B-,3008.424,55.903,186,960391.0,60.0
2481,39,113,74,187,W  ,    ,-39903.97,1.212,7975.116,0.006,B-,1312.508,1.122,186,957161.323,1.3
2482,37,112,75,187,Re ,    ,-41216.478,0.736,7977.951,0.004,B-,2.467,0.002,186,955752.288,0.79
2483,35,111,76,187,Os ,    ,-41218.945,0.736,7973.78,0.004,B-,-1669.572,27.955,186,955749.64,0.79
2484,33,110,77,187,Ir ,   x,-39549.372,27.945,7960.668,0.149,B-,-2864.323,36.868,186,957542.0,30.0
2485,31,109,78,187,Pt ,    ,-36685.05,24.048,7941.168,0.129,B-,-3657.212,27.377,186,960616.976,25.816
2486,29,108,79,187,Au ,    ,-33027.838,22.308,7917.427,0.119,B-,-4909.908,26.287,186,964543.155,23.948
2487,27,107,80,187,Hg ,    ,-28117.93,13.905,7886.987,0.074,B-,-5673.343,16.067,186,969814.158,14.928
2488,25,106,81,187,Tl ,    ,-22444.587,8.048,7852.464,0.043,B-,-7457.628,9.525,186,975904.743,8.64
2489,23,105,82,187,Pb ,    ,-14986.959,5.094,7808.4,0.027,B-,-8603.688,11.227,186,983910.836,5.468
2490,21,104,83,187,Bi ,  -a,-6383.271,10.005,7758.208,0.054,B-,-9211.868,33.43,186,993147.276,10.74
2491,19,103,84,187,Po ,  -a,2828.597,31.898,7704.763,0.171,B-,0.0,0.0,187,3036.624,34.243
2492,46,117,71,188,Lu ,   x,-0.2379,0.00503,7.902,0.003,B-,7.089,0.585,187,9.7446,0.0054
2493,44,116,72,188,Hf ,   x,-0.30879,0.00298,7.936,0.002,B-,2.733,0.303,187,9.6685,0.0032
2494,42,115,73,188,Ta ,   x,-33612.03,54.958,7946.321,0.292,B-,5055.781,55.045,187,963916.0,59.0
2495,40,114,74,188,W  ,   +,-38667.811,3.089,7969.052,0.016,B-,349.0,3.0,187,958488.395,3.316
2496,38,113,75,188,Re ,  -n,-39016.811,0.738,7966.747,0.004,B-,2120.422,0.152,187,958113.728,0.791
2497,36,112,76,188,Os ,    ,-41137.233,0.734,7973.864,0.004,B-,-2792.326,9.416,187,955837.361,0.787
2498,34,111,77,188,Ir ,    ,-38344.907,9.423,7954.85,0.05,B-,-523.979,8.686,187,958835.046,10.116
2499,32,110,78,188,Pt ,    ,-37820.929,5.304,7947.902,0.028,B-,-5449.621,5.953,187,959397.56,5.694
2500,30,109,79,188,Au ,   x,-32371.308,2.701,7914.753,0.014,B-,-2169.394,12.569,187,965247.969,2.9
2501,28,108,80,188,Hg ,    ,-30201.914,12.275,7899.052,0.065,B-,-7865.513,32.325,187,967576.91,13.178
2502,26,107,81,188,Tl ,   x,-22336.4,29.904,7853.053,0.159,B-,-4521.198,31.734,187,976020.886,32.103
2503,24,106,82,188,Pb ,  -a,-17815.202,10.622,7824.843,0.057,B-,-10620.515,15.427,187,980874.592,11.403
2504,22,105,83,188,Bi ,  -a,-7194.687,11.187,7764.189,0.06,B-,-6650.374,22.892,187,992276.184,12.009
2505,20,104,84,188,Po ,  -a,-544.313,19.973,7724.653,0.106,B-,0.0,0.0,187,999415.655,21.441
2506,45,117,72,189,Hf ,   x,-0.27162,0.00298,7.917,0.002,B-,4.667,0.357,188,9.7084,0.0032
2507,43,116,73,189,Ta ,   x,-0.31829,0.00196,7.938,0.001,B-,3.788,0.2,188,9.6583,0.0021
2508,41,115,74,189,W  ,   x,-35617.536,40.054,7953.454,0.212,B-,2361.507,40.883,188,961763.0,43.0
2509,39,114,75,189,Re ,  +p,-37979.043,8.191,7961.809,0.043,B-,1007.702,8.167,188,959227.817,8.793
2510,37,113,76,189,Os ,    ,-38986.745,0.666,7963.002,0.004,B-,-537.159,12.563,188,958146.005,0.715
2511,35,112,77,189,Ir ,    ,-38449.586,12.576,7956.02,0.067,B-,-1980.238,13.636,188,958722.669,13.5
2512,33,111,78,189,Pt ,    ,-36469.348,10.09,7941.403,0.053,B-,-2887.394,22.474,188,960848.542,10.832
2513,31,110,79,189,Au ,   x,-33581.955,20.081,7921.987,0.106,B-,-3955.554,37.401,188,963948.286,21.558
2514,29,109,80,189,Hg ,    ,-29626.401,31.553,7896.919,0.167,B-,-5010.3,32.643,188,968194.748,33.873
2515,27,108,81,189,Tl ,    ,-24616.1,8.368,7866.27,0.044,B-,-6772.066,16.364,188,973573.527,8.983
2516,25,107,82,189,Pb ,    ,-17844.035,14.062,7826.299,0.074,B-,-7779.374,25.15,188,980843.639,15.096
2517,23,106,83,189,Bi ,  -a,-10064.66,20.851,7780.999,0.11,B-,-8642.656,30.354,188,989195.141,22.384
2518,21,105,84,189,Po ,  -a,-1422.005,22.059,7731.131,0.117,B-,0.0,0.0,188,998473.415,23.681
2519,46,118,72,190,Hf ,   x,-0.2503,0.00401,7.907,0.002,B-,3.483,0.446,189,9.73129,0.0043
2520,44,117,73,190,Ta ,   x,-0.28513,0.00196,7.921,0.001,B-,5.869,0.2,189,9.6939,0.0021
2521,42,116,74,190,W  ,    ,-34382.313,39.726,7947.573,0.209,B-,1253.517,63.522,189,963089.066,42.647
2522,40,115,75,190,Re ,    ,-35635.83,70.852,7950.053,0.373,B-,3071.941,70.854,189,961743.36,76.063
2523,38,114,76,190,Os ,    ,-38707.771,0.65,7962.104,0.003,B-,-1954.227,1.213,189,958445.496,0.697
2524,36,113,77,190,Ir ,  +n,-36753.544,1.37,7947.701,0.007,B-,552.906,1.282,189,960543.445,1.47
2525,34,112,78,190,Pt ,    ,-37306.45,0.657,7946.493,0.003,B-,-4472.917,3.509,189,959949.876,0.704
2526,32,111,79,190,Au ,   x,-32833.533,3.447,7918.834,0.018,B-,-1462.836,16.276,189,964751.75,3.7
2527,30,110,80,190,Hg ,    ,-31370.697,15.907,7907.017,0.084,B-,-6998.67,17.782,189,966322.169,17.076
2528,28,109,81,190,Tl ,  +a,-24372.027,7.948,7866.064,0.042,B-,-3955.382,14.825,189,973835.551,8.532
2529,26,108,82,190,Pb ,  -a,-20416.645,12.514,7841.129,0.066,B-,-9817.066,25.8,189,978081.828,13.434
2530,24,107,83,190,Bi ,  -a,-10599.579,22.562,7785.342,0.119,B-,-6035.742,26.275,189,988620.883,24.221
2531,22,106,84,190,Po ,  -a,-4563.837,13.465,7749.458,0.071,B-,0.0,0.0,189,995100.519,14.455
2532,45,118,73,191,Ta ,   x,-0.26492,0.00298,7.911,0.002,B-,4.684,0.301,190,9.7156,0.0032
2533,43,117,74,191,W  ,   x,-31176.173,41.917,7931.435,0.219,B-,3174.124,43.156,190,966531.0,45.0
2534,41,116,75,191,Re ,  +p,-34350.296,10.265,7943.957,0.054,B-,2044.889,10.244,190,963123.437,11.019
2535,39,115,76,191,Os ,    ,-36395.185,0.659,7950.568,0.003,B-,313.57,1.141,190,960928.159,0.707
2536,37,114,77,191,Ir ,    ,-36708.756,1.311,7948.113,0.007,B-,-1010.518,3.636,190,960591.527,1.406
2537,35,113,78,191,Pt ,    ,-35698.237,4.127,7938.727,0.022,B-,-1900.333,6.426,190,961676.363,4.43
2538,33,112,79,191,Au ,    ,-33797.904,4.926,7924.681,0.026,B-,-3206.008,22.71,190,963716.455,5.288
2539,31,111,80,191,Hg ,    ,-30591.896,22.28,7903.8,0.117,B-,-4308.951,23.461,190,967158.247,23.918
2540,29,110,81,191,Tl ,  +a,-26282.945,7.349,7877.144,0.038,B-,-6051.827,37.978,190,971784.096,7.889
2541,27,109,82,191,Pb ,   x,-20231.118,37.26,7841.363,0.195,B-,-6991.772,38.005,190,978281.0,40.0
2542,25,108,83,191,Bi ,    ,-13239.347,7.487,7800.661,0.039,B-,-8170.612,10.32,190,985786.975,8.037
2543,23,107,84,191,Po ,    ,-5068.735,7.103,7753.786,0.037,B-,-8932.653,17.6,190,994558.488,7.624
2544,21,106,85,191,At ,  -a,3863.917,16.103,7702.923,0.084,B-,0.0,0.0,191,4148.086,17.287
2545,46,119,73,192,Ta ,   x,-0.23064,0.00401,7.894,0.002,B-,6.586,0.446,191,9.7524,0.0043
2546,44,118,74,192,W  ,   x,-0.29649,0.00196,7.924,0.001,B-,1.939,0.208,191,9.6817,0.0021
2547,42,117,75,192,Re ,   x,-31588.825,70.794,7930.238,0.369,B-,4293.366,70.831,191,966088.0,76.0
2548,40,116,76,192,Os ,    ,-35882.191,2.315,7948.525,0.012,B-,-1046.63,2.397,191,961478.881,2.485
2549,38,115,77,192,Ir ,    ,-34835.561,1.314,7938.999,0.007,B-,1452.896,2.274,191,962602.485,1.41
2550,36,114,78,192,Pt ,    ,-36288.457,2.57,7942.491,0.013,B-,-3516.341,15.617,191,961042.736,2.758
2551,34,113,79,192,Au ,   -,-32772.116,15.827,7920.102,0.082,B-,-760.563,22.178,191,964817.684,16.991
2552,32,112,80,192,Hg ,   x,-32011.553,15.537,7912.066,0.081,B-,-6139.307,35.277,191,965634.182,16.679
2553,30,111,81,192,Tl ,   x,-25872.246,31.671,7876.016,0.165,B-,-3316.226,34.348,191,972225.0,34.0
2554,28,110,82,192,Pb ,  -a,-22556.02,13.295,7854.669,0.069,B-,-9021.485,32.917,191,975785.115,14.273
2555,26,109,83,192,Bi ,  -a,-13534.535,30.112,7803.608,0.157,B-,-5463.873,32.096,191,985470.078,32.326
2556,24,108,84,192,Po ,  -a,-8070.661,11.11,7771.075,0.058,B-,-10996.516,30.008,191,991335.788,11.926
2557,22,107,85,192,At ,  -a,2925.854,27.876,7709.727,0.145,B-,0.0,0.0,192,3141.034,29.926
2558,47,120,73,193,Ta ,   x,-0.2087,0.00401,7.884,0.002,B-,5.417,0.446,192,9.77595,0.0043
2559,45,119,74,193,W  ,   x,-0.26287,0.00196,7.908,0.001,B-,3.945,0.199,192,9.7178,0.0021
2560,43,118,75,193,Re ,   x,-30231.638,39.123,7923.937,0.203,B-,3162.652,39.192,192,967545.0,42.0
2561,41,117,76,193,Os ,    ,-33394.289,2.321,7936.27,0.012,B-,1141.946,2.4,192,964149.753,2.491
2562,39,116,77,193,Ir ,    ,-34536.235,1.328,7938.133,0.007,B-,-56.628,0.3,192,962923.824,1.425
2563,37,115,78,193,Pt ,    ,-34479.608,1.359,7933.786,0.007,B-,-1074.787,8.768,192,962984.616,1.458
2564,35,114,79,193,Au ,    ,-33404.821,8.674,7924.164,0.045,B-,-2342.642,14.37,192,964138.447,9.311
2565,33,113,80,193,Hg ,    ,-31062.179,15.505,7907.972,0.08,B-,-3584.967,16.894,192,966653.377,16.645
2566,31,112,81,193,Tl ,   x,-27477.212,6.707,7885.344,0.035,B-,-5282.723,50.028,192,970501.997,7.2
2567,29,111,82,193,Pb ,   x,-22194.49,49.577,7853.919,0.257,B-,-6309.931,50.152,192,976173.234,53.222
2568,27,110,83,193,Bi ,    ,-15884.559,7.576,7817.171,0.039,B-,-7559.241,16.387,192,982947.223,8.132
2569,25,109,84,193,Po ,  -a,-8325.318,14.531,7773.95,0.075,B-,-8257.998,26.059,192,991062.403,15.599
2570,23,108,85,193,At ,  -a,-67.32,21.632,7727.109,0.112,B-,-9110.231,33.144,192,999927.728,23.222
2571,21,107,86,193,Rn ,  -a,9042.911,25.112,7675.852,0.13,B-,0.0,0.0,193,9707.964,26.958
2572,48,121,73,194,Ta ,   x,-0.173,0.00503,7.866,0.003,B-,7.227,0.585,193,9.81428,0.0054
2573,46,120,74,194,W  ,   x,-0.24526,0.00298,7.899,0.002,B-,2.711,0.357,193,9.7367,0.0032
2574,44,119,75,194,Re ,   x,-0.27237,0.00196,7.909,0.001,B-,5.198,0.196,193,9.7076,0.0021
2575,42,118,76,194,Os ,   +,-32435.108,2.403,7932.022,0.012,B-,96.6,2.0,193,965179.477,2.579
2576,40,117,77,194,Ir ,  -n,-32531.708,1.332,7928.487,0.007,B-,2228.362,1.257,193,965075.773,1.43
2577,38,116,78,194,Pt ,    ,-34760.07,0.496,7935.941,0.003,B-,-2548.134,2.117,193,962683.527,0.532
2578,36,115,79,194,Au , +3n,-32211.936,2.118,7918.774,0.011,B-,-27.991,3.581,193,965419.062,2.273
2579,34,114,80,194,Hg ,   x,-32183.945,2.888,7914.597,0.015,B-,-5246.454,14.268,193,965449.111,3.1
2580,32,113,81,194,Tl ,   x,-26937.491,13.972,7883.52,0.072,B-,-2729.552,22.343,193,971081.411,15.0
2581,30,112,82,194,Pb ,    ,-24207.94,17.435,7865.418,0.09,B-,-8179.128,18.498,193,974011.706,18.717
2582,28,111,83,194,Bi ,  +a,-16028.811,6.178,7819.225,0.032,B-,-5024.156,14.313,193,982792.362,6.632
2583,26,110,84,194,Po ,  -a,-11004.655,12.911,7789.294,0.067,B-,-10284.492,28.076,193,988186.015,13.86
2584,24,109,85,194,At ,  -a,-720.163,24.931,7732.249,0.129,B-,-6443.658,30.119,193,999226.872,26.764
2585,22,108,86,194,Rn ,  -a,5723.495,16.899,7695.001,0.087,B-,0.0,0.0,194,6144.424,18.141
2586,47,121,74,195,W  ,   x,-0.2101,0.00298,7.882,0.002,B-,4.569,0.422,194,9.77445,0.0032
2587,45,120,75,195,Re ,   x,-0.25579,0.00298,7.902,0.002,B-,3.933,0.303,194,9.7254,0.0032
2588,43,119,76,195,Os ,   x,-29511.593,55.89,7917.744,0.287,B-,2180.658,55.906,194,968318.0,60.0
2589,41,118,77,195,Ir ,  -n,-31692.251,1.333,7924.915,0.007,B-,1101.598,1.264,194,965976.967,1.431
2590,39,117,78,195,Pt ,    ,-32793.849,0.503,7926.552,0.003,B-,-226.817,1.0,194,964794.353,0.539
2591,37,116,79,195,Au ,    ,-32567.031,1.119,7921.377,0.006,B-,-1553.638,23.156,194,965037.851,1.201
2592,35,115,80,195,Hg ,    ,-31013.393,23.142,7909.397,0.119,B-,-2858.145,25.657,194,966705.751,24.843
2593,33,114,81,195,Tl ,    ,-28155.248,11.093,7890.728,0.057,B-,-4447.555,21.106,194,969774.096,11.909
2594,31,113,82,195,Pb ,    ,-23707.693,17.96,7863.908,0.092,B-,-5682.132,18.722,194,974548.743,19.28
2595,29,112,83,195,Bi ,    ,-18025.561,5.287,7830.757,0.027,B-,-6969.303,37.737,194,980648.762,5.675
2596,27,111,84,195,Po ,  -a,-11056.259,37.364,7791.005,0.192,B-,-7585.964,38.571,194,988130.617,40.112
2597,25,110,85,195,At ,  -a,-3470.295,9.573,7748.091,0.049,B-,-8520.575,51.401,194,996274.485,10.276
2598,23,109,86,195,Rn ,  -a,5050.281,50.502,7700.383,0.259,B-,0.0,0.0,195,5421.699,54.216
2599,48,122,74,196,W  ,   x,-0.1888,0.00401,7.872,0.002,B-,3.662,0.499,195,9.79731,0.0043
2600,46,121,75,196,Re ,   x,-0.22542,0.00298,7.887,0.002,B-,5.735,0.301,195,9.758,0.0032
2601,44,120,76,196,Os , +pp,-28277.105,40.055,7912.229,0.204,B-,1158.388,55.495,195,969643.277,43.0
2602,42,119,77,196,Ir ,   +,-29435.493,38.414,7914.148,0.196,B-,3209.016,38.411,195,968399.696,41.239
2603,40,118,78,196,Pt ,    ,-32644.51,0.51,7926.529,0.003,B-,-1505.803,2.96,195,964954.675,0.547
2604,38,117,79,196,Au ,    ,-31138.706,2.962,7914.855,0.015,B-,687.235,3.118,195,966571.221,3.179
2605,36,116,80,196,Hg ,    ,-31825.941,2.946,7914.369,0.015,B-,-4329.349,12.463,195,965833.444,3.163
2606,34,115,81,196,Tl ,   x,-27496.592,12.109,7888.289,0.062,B-,-2148.28,14.356,195,970481.192,13.0
2607,32,114,82,196,Pb ,    ,-25348.312,7.71,7873.337,0.039,B-,-7339.281,25.616,195,972787.466,8.277
2608,30,113,83,196,Bi ,   x,-18009.031,24.428,7831.9,0.125,B-,-4535.989,27.916,195,980666.509,26.224
2609,28,112,84,196,Po ,  -a,-13473.042,13.512,7804.766,0.069,B-,-9558.365,33.162,195,985536.094,14.506
2610,26,111,85,196,At ,  -a,-3914.677,30.284,7752.007,0.155,B-,-5885.668,33.54,195,995797.421,32.511
2611,24,110,86,196,Rn ,  -a,1970.991,14.417,7717.987,0.074,B-,0.0,0.0,196,2115.945,15.476
2612,49,123,74,197,W  ,   x,-0.1514,0.00401,7.854,0.002,B-,5.363,0.499,196,9.83747,0.0043
2613,47,122,75,197,Re ,   x,-0.20502,0.00298,7.878,0.002,B-,4.807,0.357,196,9.7799,0.0032
2614,45,121,76,197,Os ,   x,-0.25309,0.00196,7.898,0.001,B-,2.955,0.197,196,9.7283,0.0021
2615,43,120,77,197,Ir ,  +p,-28264.105,20.11,7908.999,0.102,B-,2155.645,20.106,196,969657.233,21.588
2616,41,119,78,197,Pt ,    ,-30419.75,0.536,7915.971,0.003,B-,719.988,0.502,196,967343.053,0.575
2617,39,118,79,197,Au ,    ,-31139.738,0.542,7915.654,0.003,B-,-599.509,3.202,196,966570.114,0.581
2618,37,117,80,197,Hg ,    ,-30540.229,3.207,7908.64,0.016,B-,-2198.58,16.637,196,967213.713,3.442
2619,35,116,81,197,Tl ,  +a,-28341.649,16.325,7893.508,0.083,B-,-3596.247,17.014,196,969573.986,17.526
2620,33,115,82,197,Pb ,    ,-24745.401,4.804,7871.282,0.024,B-,-5058.21,9.619,196,973434.717,5.157
2621,31,114,83,197,Bi ,  +a,-19687.191,8.333,7841.634,0.042,B-,-6329.202,50.373,196,978864.929,8.946
2622,29,113,84,197,Po ,  -a,-13357.99,49.679,7805.535,0.252,B-,-7002.739,50.317,196,985659.607,53.332
2623,27,112,85,197,At ,    ,-6355.25,7.983,7766.017,0.041,B-,-7865.603,18.054,196,993177.357,8.57
2624,25,111,86,197,Rn ,  -a,1510.353,16.193,7722.118,0.082,B-,-8743.618,56.762,197,1621.43,17.383
2625,23,110,87,197,Fr ,  -a,10253.971,54.404,7673.763,0.276,B-,0.0,0.0,197,11008.09,58.404
2626,48,123,75,198,Re ,   x,-0.17139,0.00401,7.862,0.002,B-,6.697,0.446,197,9.816,0.0043
2627,46,122,76,198,Os ,   x,-0.23837,0.00196,7.891,0.001,B-,1.984,0.277,197,9.7441,0.0021
2628,44,121,77,198,Ir ,   x,-0.25821,0.00196,7.897,0.001,B-,4.083,0.196,197,9.7228,0.0021
2629,42,120,78,198,Pt ,    ,-29903.999,2.1,7914.15,0.011,B-,-323.219,2.059,197,967896.734,2.254
2630,40,119,79,198,Au ,    ,-29580.781,0.54,7908.567,0.003,B-,1373.53,0.49,197,968243.724,0.579
2631,38,118,80,198,Hg ,    ,-30954.31,0.458,7911.552,0.002,B-,-3425.564,7.559,197,966769.179,0.491
2632,36,117,81,198,Tl ,   x,-27528.746,7.545,7890.3,0.038,B-,-1461.257,11.554,197,970446.673,8.1
2633,34,116,82,198,Pb ,    ,-26067.489,8.75,7878.969,0.044,B-,-6698.003,29.283,197,972015.397,9.393
2634,32,115,83,198,Bi ,   x,-19369.486,27.945,7841.189,0.141,B-,-3896.134,32.932,197,979206.0,30.0
2635,30,114,84,198,Po ,    ,-15473.352,17.424,7817.561,0.088,B-,-8758.839,18.386,197,983388.672,18.705
2636,28,113,85,198,At ,   x,-6714.513,5.868,7769.373,0.03,B-,-5484.155,14.647,197,992791.673,6.3
2637,26,112,86,198,Rn ,  -a,-1230.358,13.42,7737.724,0.068,B-,-10804.382,34.905,197,998679.156,14.406
2638,24,111,87,198,Fr ,  -a,9574.024,32.222,7679.205,0.163,B-,0.0,0.0,198,10278.138,34.591
2639,49,124,75,199,Re ,   x,-0.1486,0.00401,7.851,0.002,B-,5.623,0.446,198,9.84047,0.0043
2640,47,123,76,199,Os ,   x,-0.20484,0.00196,7.875,0.001,B-,3.915,0.2,198,9.7801,0.0021
2641,45,122,77,199,Ir ,p-2n,-24398.515,41.054,7891.206,0.206,B-,2990.167,41.003,198,973807.115,44.073
2642,43,121,78,199,Pt ,  -n,-27388.682,2.159,7902.3,0.011,B-,1705.059,2.12,198,970597.038,2.317
2643,41,120,79,199,Au ,    ,-29093.741,0.542,7906.937,0.003,B-,452.327,0.613,198,968766.582,0.581
2644,39,119,80,199,Hg ,    ,-29546.068,0.526,7905.279,0.003,B-,-1486.674,27.95,198,968280.989,0.564
2645,37,118,81,199,Tl ,   x,-28059.394,27.945,7893.877,0.14,B-,-2827.589,29.679,198,969877.0,30.0
2646,35,117,82,199,Pb ,  +a,-25231.804,9.996,7875.736,0.05,B-,-4434.239,14.547,198,972912.542,10.73
2647,33,116,83,199,Bi ,    ,-20797.566,10.568,7849.522,0.053,B-,-5589.083,20.919,198,977672.893,11.345
2648,31,115,84,199,Po ,  -a,-15208.483,18.06,7817.505,0.091,B-,-6385.111,18.845,198,983673.021,19.387
2649,29,114,85,199,At ,    ,-8823.372,5.384,7781.488,0.027,B-,-7323.921,37.972,198,990527.719,5.78
2650,27,113,86,199,Rn ,  -a,-1499.451,37.588,7740.753,0.189,B-,-8270.844,40.015,198,998390.273,40.352
2651,25,112,87,199,Fr ,  -a,6771.393,13.726,7695.259,0.069,B-,0.0,0.0,199,7269.389,14.734
2652,48,124,76,200,Os ,   x,-0.18779,0.00298,7.868,0.001,B-,2.832,0.357,199,9.7984,0.0032
2653,46,123,77,200,Ir ,   x,-0.21611,0.00196,7.878,0.001,B-,4.988,0.197,199,9.768,0.0021
2654,44,122,78,200,Pt , -nn,-26599.16,20.11,7899.198,0.101,B-,640.932,33.439,199,971444.625,21.588
2655,42,121,79,200,Au ,    ,-27240.092,26.717,7898.491,0.134,B-,2263.178,26.719,199,970756.556,28.681
2656,40,120,80,200,Hg ,    ,-29503.27,0.529,7905.895,0.003,B-,-2456.04,5.735,199,968326.934,0.568
2657,38,119,81,200,Tl ,   -,-27047.23,5.759,7889.703,0.029,B-,-796.176,12.34,199,970963.602,6.182
2658,36,118,82,200,Pb ,  4n,-26251.054,10.927,7881.81,0.055,B-,-5880.299,24.852,199,971818.332,11.73
2659,34,117,83,200,Bi ,  +a,-20370.755,22.321,7848.497,0.112,B-,-3428.994,23.573,199,978131.093,23.962
2660,32,116,84,200,Po ,    ,-16941.761,7.579,7827.44,0.038,B-,-7953.869,25.612,199,981812.27,8.135
2661,30,115,85,200,At ,  -a,-8987.892,24.465,7783.759,0.122,B-,-4983.127,28.03,199,990351.1,26.264
2662,28,114,86,200,Rn ,  -a,-4004.765,13.681,7754.932,0.068,B-,-10137.263,33.529,199,995700.707,14.686
2663,26,113,87,200,Fr ,  -a,6132.498,30.611,7700.334,0.153,B-,0.0,0.0,200,6583.507,32.861
2664,49,125,76,201,Os ,   x,-0.15239,0.00298,7.851,0.001,B-,4.657,0.357,200,9.8364,0.0032
2665,47,124,77,201,Ir ,   x,-0.19897,0.00196,7.871,0.001,B-,3.844,0.202,200,9.7864,0.0021
2666,45,123,78,201,Pt ,   +,-23740.714,50.103,7885.833,0.249,B-,2660.0,50.0,200,974513.293,53.788
2667,43,122,79,201,Au ,    ,-26400.714,3.218,7895.175,0.016,B-,1261.827,3.147,200,971657.665,3.454
2668,41,121,80,201,Hg ,    ,-27662.542,0.711,7897.56,0.004,B-,-481.704,14.181,200,970303.038,0.763
2669,39,120,81,201,Tl ,    ,-27180.838,14.185,7891.271,0.071,B-,-1909.802,18.53,200,970820.168,15.228
2670,37,119,82,201,Pb ,    ,-25271.036,13.747,7877.877,0.068,B-,-3854.603,20.481,200,972870.425,14.758
2671,35,118,83,201,Bi ,  +a,-21416.433,15.183,7854.808,0.076,B-,-4895.248,15.962,200,977008.512,16.299
2672,33,117,84,201,Po ,    ,-16521.185,4.942,7826.561,0.025,B-,-5731.747,9.561,200,982263.777,5.305
2673,31,116,85,201,At ,  +a,-10789.438,8.184,7794.153,0.041,B-,-6717.113,50.401,200,988417.061,8.786
2674,29,115,86,201,Rn ,  -a,-4072.324,49.732,7756.842,0.247,B-,-7660.902,50.554,200,995628.179,53.389
2675,27,114,87,201,Fr ,  -a,3588.577,9.08,7714.836,0.045,B-,-8348.224,22.239,201,3852.496,9.747
2676,25,113,88,201,Ra ,  -a,11936.801,20.301,7669.41,0.101,B-,0.0,0.0,201,12814.683,21.794
2677,50,126,76,202,Os ,   x,-0.13087,0.00401,7.842,0.002,B-,3.689,0.499,201,9.8595,0.0043
2678,48,125,77,202,Ir ,   x,-0.16776,0.00298,7.856,0.001,B-,5.916,0.299,201,9.8199,0.0032
2679,46,124,78,202,Pt ,   x,-22692.125,25.15,7881.56,0.125,B-,1660.854,34.276,201,975639.0,27.0
2680,44,123,79,202,Au ,   x,-24352.979,23.287,7885.909,0.115,B-,2992.345,23.298,201,973856.0,25.0
2681,42,122,80,202,Hg ,    ,-27345.324,0.705,7896.85,0.003,B-,-1365.108,1.636,201,970643.585,0.756
2682,40,121,81,202,Tl ,    ,-25980.216,1.606,7886.219,0.008,B-,-39.602,4.096,201,972109.089,1.723
2683,38,120,82,202,Pb ,    ,-25940.614,3.796,7882.15,0.019,B-,-5199.13,15.856,201,972151.604,4.075
2684,36,119,83,202,Bi ,    ,-20741.484,15.396,7852.539,0.076,B-,-2799.868,17.666,201,977733.1,16.528
2685,34,118,84,202,Po ,    ,-17941.616,8.67,7834.805,0.043,B-,-7350.884,29.289,201,980738.881,9.307
2686,32,117,85,202,At ,  -a,-10590.732,27.977,7794.541,0.138,B-,-4316.097,33.01,201,988630.38,30.034
2687,30,116,86,202,Rn ,  -a,-6274.635,17.52,7769.301,0.087,B-,-9370.871,18.881,201,993263.902,18.808
2688,28,115,87,202,Fr ,  -a,3096.237,7.04,7719.038,0.035,B-,-5978.625,16.586,202,3323.946,7.557
2689,26,114,88,202,Ra ,  -a,9074.861,15.018,7685.568,0.074,B-,0.0,0.0,202,9742.264,16.122
