,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
1167,11,58,47,105,Ag ,    ,-87070.836,4.544,8550.37,0.043,B-,-2736.997,4.362,104,906525.607,4.877
1168,9,57,48,105,Cd ,    ,-84333.839,1.392,8516.852,0.013,B-,-4693.267,10.341,104,909463.895,1.494
1169,7,56,49,105,In ,   x,-79640.572,10.246,8464.704,0.098,B-,-6302.58,10.989,104,914502.324,11.0
1170,5,55,50,105,Sn ,    ,-73337.992,3.971,8397.228,0.038,B-,-9322.51,22.185,104,921268.423,4.263
1171,3,54,51,105,Sb ,  +a,-64015.482,21.827,8300.992,0.208,B-,-11203.972,300.813,104,931276.549,23.431
1172,1,53,52,105,Te ,  -a,-52811.51,300.02,8186.836,2.857,B-,0.0,0.0,104,943304.508,322.084
1173,30,68,38,106,Sr ,   x,-0.3479,0.006,8.119,0.006,B-,11.263,0.783,105,9.62651,0.00644
1174,28,67,39,106,Y  ,   x,-0.46053,0.00503,8.218,0.005,B-,12.497,0.664,105,9.5056,0.0054
1175,26,66,40,106,Zr ,   x,-58549.987,433.145,8328.45,4.086,B-,7653.37,433.164,105,937144.0,465.0
1176,24,65,41,106,Nb ,   x,-66203.357,4.122,8393.271,0.039,B-,9931.17,10.026,105,928927.768,4.424
1177,22,64,42,106,Mo ,   x,-76134.528,9.14,8479.581,0.086,B-,3641.695,15.284,105,918266.218,9.812
1178,20,63,43,106,Tc ,   +,-79776.223,12.25,8506.556,0.116,B-,6547.0,11.0,105,914356.697,13.15
1179,18,62,44,106,Ru ,    ,-86323.223,5.391,8560.94,0.051,B-,39.404,0.212,105,907328.203,5.787
1180,16,61,45,106,Rh ,    ,-86362.627,5.39,8553.931,0.051,B-,3544.901,5.335,105,907285.901,5.785
1181,14,60,46,106,Pd ,    ,-89907.527,1.106,8579.992,0.01,B-,-2965.145,2.817,105,903480.293,1.186
1182,12,59,47,106,Ag ,    ,-86942.383,3.016,8544.639,0.028,B-,189.755,2.819,105,906663.507,3.237
1183,10,58,48,106,Cd ,    ,-87132.138,1.104,8539.048,0.01,B-,-6524.004,12.176,105,906459.797,1.184
1184,8,57,49,106,In ,   -,-80608.134,12.226,8470.12,0.115,B-,-3254.447,13.244,105,913463.603,13.125
1185,6,56,50,106,Sn ,    ,-77353.687,5.091,8432.038,0.048,B-,-10880.396,9.025,105,916957.396,5.465
1186,4,55,51,106,Sb ,   x,-66473.292,7.452,8322.012,0.07,B-,-8253.544,100.816,105,928637.982,8.0
1187,2,54,52,106,Te ,  -a,-58219.748,100.541,8236.767,0.948,B-,0.0,0.0,105,937498.526,107.934
1188,31,69,38,107,Sr ,   x,-0.289,0.007,8.064,0.007,B-,13.465,0.862,106,9.68975,0.00751
1189,29,68,39,107,Y  ,   x,-0.42364,0.00503,8.182,0.005,B-,12.015,1.23,106,9.5452,0.0054
1190,27,67,40,107,Zr ,   x,-54379.688,1122.45,8287.073,10.49,B-,9344.122,1122.479,106,941621.0,1205.0
1191,25,66,41,107,Nb ,   x,-63723.81,8.023,8367.089,0.075,B-,8827.75,12.232,106,931589.672,8.612
1192,23,65,42,107,Mo ,   x,-72551.56,9.233,8442.28,0.086,B-,6198.355,12.667,106,922112.692,9.912
1193,21,64,43,107,Tc ,   x,-78749.914,8.673,8492.897,0.081,B-,5112.598,11.724,106,915458.485,9.31
1194,19,63,44,107,Ru , -nn,-83862.512,8.673,8533.366,0.081,B-,3001.191,14.847,106,909969.885,9.31
1195,17,62,45,107,Rh ,  +p,-86863.703,12.051,8554.103,0.113,B-,1508.936,12.111,106,906747.974,12.937
