Product;Yield;Error
Er173;1.6666E-11;1.7245E-11
Er174;1.4999E-11;1.5073E-11
Er175;3.9805E-12;4.0655E-12
Er176;1.5845E-12;1.622E-12
Tm169;0.0;0.0
Tm171;0.0;0.0
Tm172;0.0;0.0
Tm173;1.148E-12;1.2219E-12
Tm174;1.3194E-12;1.4089E-12
Tm175;3.3811E-12;3.4756E-12
Tm176;1.5186E-12;1.5572E-12
Tm177;1.089E-12;1.0951E-12
Yb171;0.0;0.0
Yb172;0.0;0.0
Yb173;0.0;0.0
Yb174;0.0;0.0
Yb175;0.0;0.0
Yb175m;0.0;0.0
Yb176;0.0;0.0
Yb176m;0.0;0.0
Yb177;0.0;0.0
Yb177m;0.0;0.0
Lu175;0.0;0.0
Lu177;0.0;0.0
Hf177;0.0;0.0
