;Product;Yield;Error;Z;N
44;Mn64;1.3724e-10;1.4593e-10;25;39
45;Mn65;1.4878e-10;1.5758000000000001e-10;25;40
46;Mn66;2.7372e-11;2.9111000000000006e-11;25;41
47;Mn67;7.1178e-12;7.628e-12;25;42
48;Fe56;0.0;0.0;26;30
49;Fe57;0.0;0.0;26;31
50;Fe58;0.0;0.0;26;32
51;Fe59;0.0;0.0;26;33
52;Fe60;0.0;0.0;26;34
53;Fe61;5.2697e-12;5.621e-12;26;35
54;Fe62;8.0244e-11;8.3065e-11;26;36
55;Fe63;2.0380000000000004e-10;2.1041999999999998e-10;26;37
56;Fe64;8.838600000000001e-10;8.880499999999999e-10;26;38
57;Fe65;1.1534000000000002e-09;1.1792999999999998e-09;26;39
58;Fe66;2.3106e-09;2.3671000000000002e-09;26;40
59;Fe67;8.629400000000001e-10;9.1901e-10;26;41
60;Fe68;6.608799999999999e-10;7.0272e-10;26;42
61;Fe69;1.0385e-10;1.1023999999999999e-10;26;43
62;Fe70;1.993e-11;2.125e-11;26;44
63;Co59;0.0;0.0;27;32
64;Co61;0.0;0.0;27;34
65;Co62;0.0;0.0;27;35
66;Co63;1.5633e-11;1.6625999999999996e-11;27;36
67;Co64;8.462299999999999e-11;9.0321e-11;27;37
68;Co65;1.0463e-09;1.0739000000000002e-09;27;38
69;Co66;2.3309000000000003e-09;2.3871999999999998e-09;27;39
70;Co67;8.2736e-09;8.315399999999999e-09;27;40
71;Co68;4.2208e-09;4.3733e-09;27;41
72;Co69;1.4144e-08;1.4666999999999998e-08;27;42
73;Co70;2.009e-09;2.1357e-09;27;43
74;Co71;2.3729e-09;2.5103000000000003e-09;27;44
75;Co72;3.0293e-10;3.157e-10;27;45
76;Co73;4.6361999999999993e-11;1.9097e-11;27;46
77;Co74;2.4019999999999997e-12;9.772e-13;27;47
78;Ni61;0.0;0.0;28;33
79;Ni62;0.0;0.0;28;34
80;Ni63;0.0;0.0;28;35
81;Ni64;0.0;0.0;28;36
82;Ni65;1.5299e-11;1.6277e-11;28;37
83;Ni66;3.6946e-10;3.9080000000000004e-10;28;38
84;Ni67;1.5720000000000002e-09;1.6652999999999998e-09;28;39
85;Ni68;1.3978e-08;1.4159999999999999e-08;28;40
86;Ni69;1.3950000000000001e-08;1.4121999999999999e-08;28;41
87;Ni70;7.7917e-08;7.8073e-08;28;42
88;Ni71;6.0176e-08;6.2349e-08;28;43
89;Ni72;9.0226e-08;9.261699999999999e-08;28;44
90;Ni73;2.0968e-08;8.541700000000002e-09;28;45
91;Ni74;1.4131000000000001e-08;5.736e-09;28;46
92;Ni75;1.0069000000000001e-09;3.7795999999999995e-10;28;47
93;Ni76;5.1404e-10;1.9509000000000002e-10;28;48
94;Ni77;1.2128e-11;4.2608e-12;28;49
95;Cu63;0.0;0.0;29;34
96;Cu65;0.0;0.0;29;36
97;Cu66;0.0;0.0;29;37
98;Cu67;2.6349e-11;2.8234e-11;29;38
99;Cu68;9.6836e-11;1.0309e-10;29;39
100;Cu69;6.713899999999999e-09;7.0499e-09;29;40
101;Cu70;1.6519e-09;1.7325e-09;29;41
102;Cu71;1.5372e-07;1.5371e-07;29;42
103;Cu72;2.6393e-07;2.6279e-07;29;43
104;Cu73;6.276200000000001e-07;1.51e-07;29;44
105;Cu74;6.4003e-07;2.3255e-07;29;45
106;Cu75;4.974899999999999e-07;1.7942999999999999e-07;29;46
107;Cu76;1.9690999999999998e-07;7.432e-08;29;47
108;Cu77;1.1284000000000001e-07;3.9598e-08;29;48
109;Cu78;8.736e-09;2.9324e-09;29;49
110;Cu79;1.0631e-09;3.5381999999999997e-10;29;50
111;Cu80;3.3921e-11;1.0557000000000002e-11;29;51
112;Zn66;0.0;0.0;30;36
113;Zn67;0.0;0.0;30;37
114;Zn68;0.0;0.0;30;38
115;Zn69;3.8377e-12;4.0743e-12;30;39
116;Zn70;7.8558e-10;8.3717e-10;30;40
117;Zn71;1.3876e-09;1.4654000000000001e-09;30;41
118;Zn72;1.2652999999999998e-07;1.2909e-07;30;42
119;Zn73;3.3574e-08;1.1096999999999998e-08;30;43
120;Zn74;2.5590999999999998e-06;4.5668e-07;30;44
121;Zn75;5.2354e-06;8.767e-07;30;45
122;Zn76;2.8681e-05;5.650700000000001e-06;30;46
123;Zn77;1.5594e-05;4.4681e-06;30;47
124;Zn78;3.3796e-05;9.3408e-06;30;48
125;Zn79;6.975e-06;2.2530000000000003e-06;30;49
126;Zn80;2.2625e-06;6.9814e-07;30;50
127;Zn81;2.0909999999999997e-08;6.8915e-09;30;51
128;Zn82;1.2082999999999998e-09;4.1677e-10;30;52
129;Ga69;0.0;0.0;31;38
130;Ga71;2.4756e-11;2.6210999999999998e-11;31;40
131;Ga72;5.6971e-10;5.937e-10;31;41
132;Ga73;1.9539e-08;7.9657e-09;31;42
133;Ga74;1.0517999999999999e-07;4.1351000000000004e-08;31;43
134;Ga75;2.0646e-06;6.4106e-07;31;44
135;Ga76;1.1273e-05;3.6000000000000003e-06;31;45
136;Ga77;3.4403e-05;7.748e-06;31;46
137;Ga78;6.324899999999999e-05;1.4821e-05;31;47
138;Ga79;0.00010958;2.4013000000000002e-05;31;48
139;Ga80;0.00012845;2.6337e-05;31;49
